ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET
40801,1,4,6,45,1,8967,71676
24133,1,4,6,46,1,238381,6336
34608,1,4,6,49,3,202510,212005
38757,1,4,6,50,1,167633,2335
1386,1,4,6,53,3,172649,1876
8158,1,4,6,53,0,215527,11389
32520,1,4,6,53,0,2333,163707
54684,1,4,6,53,0,153268,157907
37569,1,4,6,54,1,4631,231832
8863,1,4,6,55,1,31161,110502
11909,1,4,6,55,0,8981,218666
46332,1,4,6,55,0,173110,7271
40089,1,4,6,56,1,8966,71676
25788,1,4,6,58,2,137216,166422
18080,1,4,7,0,2,9064,159805
17995,1,4,7,2,2,9064,177964
4217,1,4,7,3,1,238381,224580
33589,1,4,7,3,0,1976,113269
8889,1,4,7,5,2,231922,15
15517,1,4,7,6,1,163663,44
38468,1,4,7,6,0,167629,215527
1465,1,4,7,9,3,158318,222410
10530,1,4,7,11,2,18229,166465
41819,1,4,7,12,1,240670,9010
14025,1,4,7,17,5,167633,8432
38759,1,4,7,18,1,139222,9016
4905,1,4,7,19,1,215527,166465
7333,1,4,7,19,0,6673,110502
40699,1,4,7,19,0,147246,201229
17854,1,4,7,20,1,165573,208324
55664,1,4,7,20,0,175754,52983
680,1,4,7,21,1,236739,110502
13259,1,4,7,21,0,137745,173144
41384,1,4,7,22,1,11699,157902
2675,1,4,7,24,2,227770,1527
51835,1,4,7,26,2,151337,5173
12098,1,4,7,27,1,9010,146783
31482,1,4,7,28,1,1688,238059
6710,1,4,7,29,1,235617,207929
26905,1,4,7,29,0,238914,158760
37570,1,4,7,29,0,151964,230288
26066,1,4,7,30,1,990,231475
32701,1,4,7,31,1,239448,157297
46333,1,4,7,31,0,86382,10442
20039,1,4,7,34,3,176954,2143
29329,1,4,7,34,0,5726,163707
54116,1,4,7,34,0,110502,137034
30601,1,4,7,35,1,212005,215527
48330,1,4,7,35,0,3682,230891
51589,1,4,7,35,0,230737,146783
6231,1,4,7,36,1,241562,215527
35934,1,4,7,36,0,157302,138286
12650,1,4,7,38,2,13239,216749
18676,1,4,7,39,1,105108,215527
10752,1,4,7,40,1,2690,212005
35638,1,4,7,40,0,175754,52983
39925,1,4,7,40,0,230800,8523
56221,1,4,7,40,0,110502,222306
17447,1,4,7,41,1,8469,110502
54887,1,4,7,41,0,224630,2331
25789,1,4,7,43,2,160073,155212
45407,1,4,7,44,1,213232,236970
56525,1,4,7,44,0,1080,199229
11431,1,4,7,45,1,2716,158752
32522,1,4,7,45,0,4680,163305
14945,1,4,7,47,2,151386,167720
24134,1,4,7,47,0,95540,9419
8344,1,4,7,48,1,235617,151386
49224,1,4,7,48,0,215527,163705
55969,1,4,7,49,1,159139,164937
16293,1,4,7,51,2,157916,155212
47435,1,4,7,51,0,151964,158325
9297,1,4,7,52,1,1547,22781
48811,1,4,7,52,0,164662,164661
17025,1,4,7,54,2,35445,22781
36747,1,4,7,54,0,166862,159569
9564,1,4,7,56,2,136880,78649
22087,1,4,7,56,0,158602,215527
39342,1,4,7,56,0,1948,210266
29968,1,4,7,58,2,215527,11396
42190,1,4,7,58,0,219012,858
