ID,WEEK,DAY,HOUR,MINUTE,WAIT,SOURCE,TARGET,TIME
46612,1,1,1,18,0,4027,239118,78
15602,1,1,1,19,1,216009,218678,79
15113,1,1,1,20,1,151337,222053,80
41761,1,1,1,20,0,226723,222306,80
46037,1,1,1,20,0,167836,217395,80
1641,1,1,1,21,1,215527,221690,81
37191,1,1,1,21,0,167629,163819,81
51281,1,1,1,21,0,151337,50236,81
974,1,1,1,22,1,216749,8705,82
18859,1,1,1,22,0,216749,13222,82
20565,1,1,1,22,0,110502,146783,82
23948,1,1,1,22,0,228589,158098,82
41332,1,1,1,22,0,10658,218666,82
53384,1,1,1,23,1,225711,100535,83
56348,1,1,1,23,0,136940,67652,83
21343,1,1,1,24,1,110502,158602,84
23513,1,1,1,25,1,196820,213042,85
35535,1,1,1,25,0,163707,129073,85
37020,1,1,1,25,0,22781,212873,85
38589,1,1,1,25,0,228588,168149,85
42554,1,1,1,25,0,239718,153300,85
12585,1,1,1,26,1,215527,147083,86
19705,1,1,1,26,0,169726,167737,86
31591,1,1,1,26,0,218867,159139,86
334,1,1,1,27,1,216756,162967,87
10371,1,1,1,27,0,215527,52002,87
743,1,1,1,28,1,196847,914,88
5707,1,1,1,28,0,9775,110502,88
15940,1,1,1,28,0,216749,198028,88
20311,1,1,1,28,0,199729,192965,88
32212,1,1,1,28,0,215527,38847,88
21958,1,1,1,29,1,166699,166422,89
44703,1,1,1,29,0,4568,32851,89
12193,1,1,1,30,1,215527,196845,90
26566,1,1,1,31,1,9525,146965,91
45127,1,1,1,31,0,216749,161907,91
1103,1,1,1,32,1,8206,68601,92
3155,1,1,1,32,0,215527,1594,92
31937,1,1,1,32,0,199736,3674,92
33011,1,1,1,32,0,215527,8206,92
44762,1,1,1,32,0,167641,33681,92
48571,1,1,1,32,0,215527,153456,92
54819,1,1,1,32,0,216749,163819,92
2103,1,1,1,33,1,176954,110502,93
23143,1,1,1,33,0,6309,157301,93
24750,1,1,1,33,0,174082,212005,93
38244,1,1,1,33,0,216749,153263,93
40651,1,1,1,33,0,10046,104829,93
2441,1,1,1,34,1,215527,135340,94
22638,1,1,1,34,0,234133,201509,94
34298,1,1,1,34,0,215527,139263,94
54066,1,1,1,34,0,11344,2732,94
5012,1,1,1,35,1,215527,155212,95
11210,1,1,1,35,0,215527,900,95
18968,1,1,1,35,0,215527,151964,95
19552,1,1,1,35,0,216749,216753,95
26825,1,1,1,35,0,226119,32851,95
45262,1,1,1,35,0,239109,2729,95
5514,1,1,1,36,1,238381,153209,96
8009,1,1,1,37,1,147689,110502,97
22305,1,1,1,37,0,163684,7276,97
37371,1,1,1,37,0,155212,163723,97
29922,1,1,1,38,1,59461,208963,98
48374,1,1,1,38,0,153321,9011,98
54448,1,1,1,38,0,162328,218857,98
56445,1,1,1,38,0,198318,215527,98
43133,1,1,1,39,1,6848,25281,99
5664,1,1,1,40,1,158117,215527,100
21805,1,1,1,40,0,13221,201187,100
31736,1,1,1,40,0,110502,9432,100
33445,1,1,1,40,0,10492,226665,100
50403,1,1,1,40,0,191436,838,100
13323,1,1,1,41,1,167629,218276,101
18388,1,1,1,41,0,136953,1078,101
21079,1,1,1,41,0,1527,11699,101
10088,1,1,1,42,1,9565,173108,102
16834,1,1,1,42,0,199729,134853,102
30788,1,1,1,42,0,174223,216749,102
32303,1,1,1,42,0,215527,218666,102
42929,1,1,1,42,0,215244,173407,102
53587,1,1,1,42,0,988,4561,102
6290,1,1,1,43,1,158767,4713,103
11664,1,1,1,43,0,213105,215527,103
44287,1,1,1,43,0,215527,1074,103
46395,1,1,1,43,0,14797,164729,103
6382,1,1,1,44,1,216749,6326,104
7625,1,1,1,44,0,110502,160804,104
15247,1,1,1,44,0,215527,216013,104
22174,1,1,1,44,0,163148,136945,104
32487,1,1,1,44,0,196113,215527,104
11830,1,1,1,45,1,6617,110502,105
13438,1,1,1,45,0,8278,32277,105
16691,1,1,1,45,0,213770,215527,105
40759,1,1,1,45,0,13043,216753,105
54216,1,1,1,45,0,216749,136870,105
6185,1,1,1,46,1,222052,199232,106
39032,1,1,1,46,0,233591,218775,106
42621,1,1,1,46,0,238584,882,106
2628,1,1,1,47,1,215527,6775,107
3452,1,1,1,47,0,167633,12554,107
17086,1,1,1,47,0,169946,137832,107
21640,1,1,1,47,0,110502,139488,107
24968,1,1,1,47,0,172912,42651,107
28136,1,1,1,47,0,209023,226231,107
40345,1,1,1,47,0,137519,8687,107
48029,1,1,1,47,0,158614,4534,107
55607,1,1,1,47,0,804,212005,107
5900,1,1,1,48,1,110502,153127,108
27972,1,1,1,48,0,157302,137264,108
28474,1,1,1,48,0,167832,186987,108
39900,1,1,1,48,0,5462,237190,108
27901,1,1,1,50,2,219519,8891,110
34500,1,1,1,50,0,152759,226056,110
41432,1,1,1,50,0,169396,157313,110
56752,1,1,1,50,0,230799,54403,110
4071,1,1,1,51,1,216749,7945,111
13968,1,1,1,51,0,110502,188259,111
35863,1,1,1,51,0,175613,140566,111
8475,1,1,1,52,1,153370,227248,112
45355,1,1,1,52,0,173117,199229,112
12984,1,1,1,53,1,241261,162548,113
13938,1,1,1,53,0,827,218678,113
36488,1,1,1,53,0,215527,208963,113
39518,1,1,1,53,0,996,215527,113
7828,1,1,1,54,1,122279,201509,114
16376,1,1,1,54,0,177985,10268,114
42327,1,1,1,54,0,216749,4680,114
36285,1,1,1,55,1,11846,138242,115
45664,1,1,1,55,0,215527,172753,115
37487,1,1,1,56,1,163707,2382,116
50523,1,1,1,56,0,215527,213226,116
26981,1,1,1,57,1,151847,139123,117
39546,1,1,1,57,0,173144,8157,117
53726,1,1,1,57,0,168243,137234,117
11387,1,1,1,58,1,78649,230456,118
14807,1,1,1,58,0,1031,167649,118
23177,1,1,1,59,1,220236,153268,119
37024,1,1,1,59,0,163685,216348,119
2629,1,1,2,0,1,231832,200373,120
4974,1,1,2,0,0,153453,161899,120
13558,1,1,2,0,0,215527,4528,120
17515,1,1,2,0,0,151386,10658,120
30353,1,1,2,0,0,107700,163324,120
48416,1,1,2,0,0,163665,100535,120
53487,1,1,2,0,0,163709,153051,120
22596,1,1,2,1,1,6933,221982,121
38959,1,1,2,1,0,238489,16963,121
39902,1,1,2,1,0,10658,2345,121
45917,1,1,2,1,0,216749,142860,121
41,1,1,2,2,1,222786,163707,122
8476,1,1,2,2,0,2729,153348,122
36582,1,1,2,2,0,9450,151588,122
39519,1,1,2,2,0,212005,1015,122
55426,1,1,2,2,0,7931,138848,122
10996,1,1,2,3,1,238381,153123,123
42753,1,1,2,3,0,153363,9132,123
44706,1,1,2,3,0,216749,84480,123
3453,1,1,2,4,1,4532,900,124
14093,1,1,2,4,0,226107,45891,124
14527,1,1,2,4,0,138361,212184,124
22441,1,1,2,4,0,215527,163717,124
35183,1,1,2,4,0,134953,222410,124
12019,1,1,2,5,1,5735,226636,125
32092,1,1,2,5,0,173141,11330,125
43277,1,1,2,5,0,213225,226252,125
50759,1,1,2,5,0,166858,6290,125
52297,1,1,2,5,0,104039,7351,125
40864,1,1,2,6,1,138848,218775,126
41763,1,1,2,6,0,151576,166861,126
43683,1,1,2,7,1,169987,196843,127
54450,1,1,2,7,0,167629,4534,127
19707,1,1,2,8,1,151337,234641,128
37373,1,1,2,8,0,215527,232239,128
37885,1,1,2,8,0,22781,233282,128
1973,1,1,2,9,1,10704,101719,129
18970,1,1,2,9,0,167633,175007,129
43323,1,1,2,9,0,215527,1031,129
55101,1,1,2,9,0,119091,136918,129
744,1,1,2,10,1,162328,8437,130
18390,1,1,2,10,0,215527,43392,130
40346,1,1,2,10,0,137519,8687,130
42932,1,1,2,10,0,988,152054,130
3157,1,1,2,11,1,230770,213123,131
3457,1,1,2,11,0,1693,201509,131
10291,1,1,2,11,0,151337,241515,131
13224,1,1,2,11,0,164827,233183,131
16836,1,1,2,11,0,239116,218666,131
19847,1,1,2,11,0,137177,198514,131
31890,1,1,2,11,0,167629,199229,131
46191,1,1,2,11,0,167629,4648,131
46396,1,1,2,11,0,6313,6312,131
54218,1,1,2,11,0,162328,153335,131
54949,1,1,2,12,1,1031,239932,132
